MangaName,MangaLink
bibliomania,https://www.mangasaki.org/manga/bibliomania
i-gave-birth-murderer%E2%80%99s-child,https://www.mangasaki.org/manga/i-gave-birth-murderer%E2%80%99s-child
when-i-traveled-another-world-i-was-forced-be-princess-city,https://www.mangasaki.org/manga/when-i-traveled-another-world-i-was-forced-be-princess-city
kimetsu-no-yaiba-rengoku-kyoujurou-gaiden,https://www.mangasaki.org/manga/kimetsu-no-yaiba-rengoku-kyoujurou-gaiden
enji-no-hogosha-ni-dakarete-shimaimashita,https://www.mangasaki.org/manga/enji-no-hogosha-ni-dakarete-shimaimashita
aire,https://www.mangasaki.org/manga/aire
mercenary-enrollment-manhwa,https://www.mangasaki.org/manga/mercenary-enrollment-manhwa
survive-deserted-island-beautiful-girls,https://www.mangasaki.org/manga/survive-deserted-island-beautiful-girls
dorei-tensei-sono-dorei-saikyou-no-moto-ouji-ni-tsuki,https://www.mangasaki.org/manga/dorei-tensei-sono-dorei-saikyou-no-moto-ouji-ni-tsuki
sekai-saikyou-no-doryokuka-sainou-ga-doryoku-datta-no-de-kouritsu-yoku-kikakugai-no-doryoku-o,https://www.mangasaki.org/manga/sekai-saikyou-no-doryokuka-sainou-ga-doryoku-datta-no-de-kouritsu-yoku-kikakugai-no-doryoku-o
i-came-another-world-jack-all-trades-and-master-none-journey-while-relying-quickness,https://www.mangasaki.org/manga/i-came-another-world-jack-all-trades-and-master-none-journey-while-relying-quickness
demon-lord-wants-die,https://www.mangasaki.org/manga/demon-lord-wants-die
himegami-no-miko,https://www.mangasaki.org/manga/himegami-no-miko
koi-wa-iikara-nemuritai,https://www.mangasaki.org/manga/koi-wa-iikara-nemuritai
hayaku-shitai-futari,https://www.mangasaki.org/manga/hayaku-shitai-futari
nankuru-nee-san,https://www.mangasaki.org/manga/nankuru-nee-san
fuyu-fenriru-no-itoshigo-natta-watashi-ga-zetsubou-kara-iyasareteiku-hanashi,https://www.mangasaki.org/manga/fuyu-fenriru-no-itoshigo-natta-watashi-ga-zetsubou-kara-iyasareteiku-hanashi
unparalleled-path-reincarnated-ai-space-battleship,https://www.mangasaki.org/manga/unparalleled-path-reincarnated-ai-space-battleship
virus-tensei-kara-isekai-kansen-monogatari,https://www.mangasaki.org/manga/virus-tensei-kara-isekai-kansen-monogatari
boys-run-riot,https://www.mangasaki.org/manga/boys-run-riot
max-level-returner,https://www.mangasaki.org/manga/max-level-returner
post-apocalyptic-dispatch-company,https://www.mangasaki.org/manga/post-apocalyptic-dispatch-company
if-ai-rules-world,https://www.mangasaki.org/manga/if-ai-rules-world
taming-master-manhua,https://www.mangasaki.org/manga/taming-master-manhua
double-agent,https://www.mangasaki.org/manga/double-agent
trapped-webnovel-good-nothing,https://www.mangasaki.org/manga/trapped-webnovel-good-nothing
tanaka-ke-tensei-suru,https://www.mangasaki.org/manga/tanaka-ke-tensei-suru
alice-borderland-retry,https://www.mangasaki.org/manga/alice-borderland-retry
hell-mode-yarikomi-suki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru,https://www.mangasaki.org/manga/hell-mode-yarikomi-suki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru
shoki-skill-ga-benri-sugite-isekai-seikatsu-ga-tanoshisugiru,https://www.mangasaki.org/manga/shoki-skill-ga-benri-sugite-isekai-seikatsu-ga-tanoshisugiru
panlong,https://www.mangasaki.org/manga/panlong
max-level-hero-has-returned-manhwa,https://www.mangasaki.org/manga/max-level-hero-has-returned-manhwa
newlywed-life-witch-and-dragon,https://www.mangasaki.org/manga/newlywed-life-witch-and-dragon
konya-wa-tsuki-ga-kirei-desu-ga-toriaezu-shine,https://www.mangasaki.org/manga/konya-wa-tsuki-ga-kirei-desu-ga-toriaezu-shine
someday-will-i-be-greatest-alchemist,https://www.mangasaki.org/manga/someday-will-i-be-greatest-alchemist
ie-ga-moete-jinsei-dou-demo-yoku-natta-kara-nokotta-nakenashi-no-kin-de-dark-elf-no-dorei-o,https://www.mangasaki.org/manga/ie-ga-moete-jinsei-dou-demo-yoku-natta-kara-nokotta-nakenashi-no-kin-de-dark-elf-no-dorei-o
seijo-no-hazu-ga-douyara-nottoraremashita,https://www.mangasaki.org/manga/seijo-no-hazu-ga-douyara-nottoraremashita
dhm-dungeon-harem-master,https://www.mangasaki.org/manga/dhm-dungeon-harem-master
